link,pdf_links
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-mac-persediaan-pekerja-muda-menghadapi-persaraan-kini-boleh-dimuat-turun.,['documents/20124/761706/3_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/updates-guidelines-circulars-listing-on-bank-negara-malaysia-s-website-10,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-circulars-listing-on-bank-negara-malaysia-s-website-1,[]
https://www.bnm.gov.my/-/baharu-dikemaskini-garis-panduan-mengenai-statutory-reserve-requirement-dalam-bahasa-inggeris-,['documents/20124/761706/pd_SRR_20191113.pdf']
https://www.bnm.gov.my/-/amaran-penipuan-kewangan-status-kes-yang-disiasat-oleh-bank-negara-malaysia,[]
https://www.bnm.gov.my/-/pemberitahuan-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang-1,[]
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-februari-pelan-tabungan-sebagai-komitmen-kewangan-kini-boleh-dimuat-turun.,['documents/20124/761706/2_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/the-2010-annual-insurance-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/slaid-boleh-dimuat-turun-sesi-taklimat-laporan-tahunan-bank-negara-malaysia-2010-dan-laporan-kestabilan-kewangan-dan-sistem-pembayaran-2010,"['documents/20124/761706/02_20110323_analyst_DGMI.pdf', 'documents/2011/slides/03_20110323_analyst_DGMRAK.pdf', 'documents/20124/761706/01_20110323_press.pdf']"
https://www.bnm.gov.my/-/guidelines-circulars-listing-on-bank-negara-malaysia-s-website-new-updated-,[]
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-award-2011/2012-nurturing-malaysian-talents,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-circulars-listing-on-bank-negara-malaysia-s-website-2,[]
https://www.bnm.gov.my/-/penyenggaraan-berjadual-laman-sesawang-bnm-bermula-10-malam-jumaat-21-januari-hingga-7-pagi-sabtu-22-januari-2011,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-circulars-listing-on-bank-negara-malaysia-s-website-3,[]
https://www.bnm.gov.my/-/pemberitahuan-syarikat-yang-tidak-lagi-dibenarkan-mengendalikan-kiriman-wang,[]
https://www.bnm.gov.my/-/berwaspada-dengan-panggilan-telefon-e-mel-atau-sms-palsu-meminta-maklumat-perbankan-peribadi-1,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-circulars-listing-on-bank-negara-malaysia-s-website,[]
https://www.bnm.gov.my/-/pelaksanaan-rang-undang-undang-pidm-2010-yang-baharu,[]
https://www.bnm.gov.my/-/call-for-papers-bank-negara-malaysia-s-conference-on-monetary-policy-in-the-new-normal-,[]
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-oktober-2012-kini-boleh-dimuat-turun,['documents/20124/761703/Ringgit_10_2012.pdf']
https://www.bnm.gov.my/-/baharu-diterbitkan-garis-panduan-bagi-pengurusan-risiko-dan-kawalan-dalaman-untuk-perniagaan-perkhidmatan-wang-guidelines-on-risk-management-and-internal-controls-for-conduct-of-money-services-business-,['documents/20124/761703/03_Guidelines_on_Risk_Management_and_Internal_Controls_BM.pdf']
https://www.bnm.gov.my/-/jadual-mesyuarat-majlis-penasihat-syariah-bank-negara-malaysia-bagi-tahun-2013,[]
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-september-2012-kini-boleh-dimuat-turun,['documents/20124/761703/20121129_sept_Ringgit.pdf']
