link,pdf_links
https://www.bnm.gov.my/-/bnm-website-scheduled-maintenance-from-12.00-a.m-8-september-2012-until-12.00-a.m-9-september-2012-.,[]
https://www.bnm.gov.my/-/call-for-participation-knowledge-management-km-conference-and-exhibition-strengthening-organisational-performance-through-km-8-9-october-2012-sasana-kijang-,[]
https://www.bnm.gov.my/-/call-for-public-feedback-concept-paper-governance-and-operational-requirements-on-conduct-of-money-services-business,[]
https://www.bnm.gov.my/-/asean-insurance-brokers-are-now-allowed-to-provide-cross-border-services-as-approved-international-marine-aviation-and-transit-mat-insurance-brokers-in-malaysia,"['documents/20124/761703/application_form.pdf', 'documents/20124/761703/procedures.pdf', 'documents/20124/761703/ins_regulations.pdf']"
https://www.bnm.gov.my/-/newly-published-guidelines-on-representative-offices-1,['documents/20124/938039/01_Rep_Office_Guideline_20151105.pdf']
https://www.bnm.gov.my/-/newly-published-guidelines-on-agent-banking-1,"['documents/20124/761703/FAQs_agent_banking_20150430.pdf', 'documents/20124/761703/01_agent_banking_20150430_1.pdf']"
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-april-kini-boleh-dimuat-turun,[]
https://www.bnm.gov.my/-/financial-consumer-alert-be-alert-of-the-common-features-of-illegal-schemes-1,[]
https://www.bnm.gov.my/-/sources-and-uses-of-funds-of-the-financial-system-is-now-available-for-download.,[]
https://www.bnm.gov.my/-/bnm-portal-post-system-upgrade-kindly-update-all-your-bookmark/favourite-links,[]
https://www.bnm.gov.my/-/call-for-public-feedback-concept-paper-risk-weighted-capital-adequacy-framework-and-capital-adequacy-framework-for-islamic-banks-general-requirements-and-capital-components-,['documents/20124/761703/cp_007_8.pdf']
https://www.bnm.gov.my/-/bnm-portal-scheduled-system-upgrade-from-friday-25-may-10-p.m.-until-sunday-27-may-2012-10-a.m.-,[]
https://www.bnm.gov.my/-/ringgit-newsletter-february-issue-is-now-available-for-download.,['documents/20124/761703/bnm-ringgit-feb2012.pdf']
https://www.bnm.gov.my/-/academic-visit-calendar-2012,"['documents/20124/761703/BNM_form_2012.pdf', 'documents/20124/761703/en_bnm_academic_cal.pdf', 'documents/20124/761703/en_bnm_procedures.pdf']"
https://www.bnm.gov.my/-/bnm-to-host-the-3rd-global-islamic-finance-forum-giff-from-18th-to-20th-september-2012-1,[]
https://www.bnm.gov.my/-/briefing-slides-are-now-available-for-download-2,['documents/20124/761703/press_conference_slides_20120321.pdf']
https://www.bnm.gov.my/-/newly-published-guidelines-on-statistical-reporting-for-money-services-business-1,[]
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-2012/2013-academic-session-nurturing-malaysian-talents,[]
https://www.bnm.gov.my/-/program-pendidikan-rangkuman-kewangan-1-6-mac-2012,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-internal-capital-adequacy-assessment-process-icaap-for-insurers,"['documents/20124/761703/20120228_IAT_CA_0004_A01.pdf', 'documents/20124/761703/20120228_IAT_CA_0004_A02.pdf', 'documents/20124/761703/20120228_IAT_CA_0004.pdf']"
https://www.bnm.gov.my/-/the-bank-s-shariah-advisory-council-sac-meeting-schedule-for-2012-1,[]
https://www.bnm.gov.my/-/perkhidmatan-link-bergerak-bnm-bnm-mobilelink-akan-berada-di-negeri-pahang-1,[]
https://www.bnm.gov.my/-/the-bank-s-shariah-advisory-council-sac-meeting-schedule-for-2012,[]
https://www.bnm.gov.my/-/ringgit-newsletter-november-issue-is-now-available-for-download.,['documents/20124/761703/11_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/working-paper-external-risks-and-macro-financial-linkages-in-the-asean-5-economies,['documents/20124/761700/External_Risks_in_the+ASEAN-5-Economies.pdf']
https://www.bnm.gov.my/-/working-paper-global-monetary-easing-spillovers-and-lines-of-defence,['documents/20124/761700/sim_et_al.pdf']
https://www.bnm.gov.my/-/working-paper-the-marginal-propensity-to-consume-across-household-income-groups,['documents/20124/761700/dhruva_et_al_final_JKK.pdf']
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-november-2013-kini-boleh-dimuat-turun,[]
https://www.bnm.gov.my/-/exposure-drafts-on-islamic-financial-contracts-shariah-requirements-and-optional-practices-,"['documents/20124/761700/01_Hibah.pdf', 'documents/20124/761700/07_Wakalah.pdf', 'documents/20124/761700/03_Bai+Inah.pdf', 'documents/20124/761700/11_+Wa%27d.pdf', 'documents/20124/761700/05_Kafalah.pdf', 'documents/20124/761700/09_Wadi%60ah.pdf', 'documents/20124/761700/13_Tawarruq.pdf']"
https://www.bnm.gov.my/-/visit-payment-system-exhibition-at-sasana-kijang-and-sign-up-for-latest-offer-on-e-banking/payment-services,['documents/20124/761700/programme_epayment.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-october-2013-issue-is-now-available-for-download.,['documents/20124/761700/Ringgit_10.pdf']
https://www.bnm.gov.my/-/joint-public-consultation-paper-trade-repository-reporting-requirement-for-over-the-counter-derivatives,['documents/20124/761700/TR_Joint_Consultation_Paper_final191113.pdf']
https://www.bnm.gov.my/-/you-got-phished-protect-yourself-from-phishing-scams..,[]
https://www.bnm.gov.my/-/concept-paper-life-insurance-and-family-takaful-framework-consultation-period-extended-until-9-january-2014-,['documents/20124/761700/Life_Insurance_and_Family_Takaful_Framework_Concept_Paper_v2.pdf']
https://www.bnm.gov.my/-/download-the-2014-budget-speech-by-prime-minister-of-malaysia,['documents/20124/761700/bs14_en.pdf']
https://www.bnm.gov.my/-/watch-the-exclusive-video-tun-dr.-mahathir-special-address-innovative-financing-for-global-entrepreneurs-,[]
https://www.bnm.gov.my/-/newly-published-policy-on-registration-procedure-to-carry-on-adjusting-business,"['documents/20124/761700/Appendix+II+-+adjuster-glines-policies.pdf', 'documents/20124/761700/Appendix+III+-+adjuster-registrationform.pdf', 'documents/20124/761700/Appendix+I+-+adjuster-regnreqmt.pdf', 'documents/20124/761700/adjuster-stdregistrationcriteria.pdf']"
https://www.bnm.gov.my/-/ringgit-newsletter-september-2013-issue-is-now-available-for-download.,['documents/20124/761700/Ringgit_9.pdf']
https://www.bnm.gov.my/-/national-statistics-conference-2013-mystats-2013-promoting-innovation-in-economic-and-financial-statistics-to-support-policy-making-in-a-dynamic-environment-18-november-2013-sasana-kijang-kuala-lumpur-1,[]
https://www.bnm.gov.my/-/ringgit-newsletter-august-2013-issue-is-now-available-for-download.-1,['documents/20124/761700/Ringgit_8.pdf']
https://www.bnm.gov.my/-/guideline-on-dye-stained-banknotes-1,['documents/20124/761700/Guideline_on_Dye-Stained_Banknotes_v2.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-july-2013-issue-is-now-available-for-download.-1,['documents/20124/761700/ringgit_7.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-june-2013-issue-is-now-available-for-download-1,['documents/20124/761700/Ringgit_62013.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-may-2013-issue-is-now-available-for-download-1,['documents/20124/761700/5_Ringgit.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-april-2013-issue-is-now-available-for-download,['documents/20124/761700/4_Ringgit_2013.pdf']
https://www.bnm.gov.my/-/sources-and-uses-of-funds-in-the-financial-system-is-now-available-for-download,[]
