date,title,link
03 Mei 2001,"Wang Kertas Baru RM10, RM50 dan RM100 yang mengandungi Tandatangan Gabenor Semasa",https://www.bnm.gov.my/-/wang-kertas-baru-rm10-rm50-dan-rm100-yang-mengandungi-tandatangan-gabenor-semasa
30 Apr 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Mac 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-mac-2001-nota-penerangan
25 Apr 2001,Jawapan kepada Pertanyaan mengenai Duit Syiling RM1,https://www.bnm.gov.my/-/jawapan-kepada-pertanyaan-mengenai-duit-syiling-rm1
23 Apr 2001,Rizab Antarabangsa BNM pada 14 Apr 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-apr-2001
11 Apr 2001,Mesyuarat Tahunan Cagamas Berhad ke-14,https://www.bnm.gov.my/-/mesyuarat-tahunan-cagamas-berhad-ke-14
09 Apr 2001,Rizab Antarabangsa BNM pada 31 Mac 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-mac-2001
09 Apr 2001,"Seminar Undang-undang Perbankan dan Kewangan 2001 - ""Perbankan dan Perkembangan ICT: Isu-isu Perundangan""",https://www.bnm.gov.my/-/seminar-undang-undang-perbankan-dan-kewangan-2001-perbankan-dan-perkembangan-ict-isu-isu-perundangan-
30 Mac 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Februari 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-februari-2001-nota-penerangan
28 Mac 2001,Laporan Tahunan BNM 2000,https://www.bnm.gov.my/-/laporan-tahunan-bnm-2000-1
28 Mac 2001,Laporan Tahunan Insurans 2000,https://www.bnm.gov.my/-/laporan-tahunan-insurans-2000-1
28 Mac 2001,Laporan Tahunan Takaful 2000,https://www.bnm.gov.my/-/laporan-tahunan-takaful-2000
23 Mac 2001,Projek STARS oleh IBBM,https://www.bnm.gov.my/-/projek-stars-oleh-ibbm
16 Mac 2001,Kedudukan Malaysian National Reinsurance Berhad dalam Pelan Induk Sektor Kewangan,https://www.bnm.gov.my/-/kedudukan-malaysian-national-reinsurance-berhad-dalam-pelan-induk-sektor-kewangan
13 Mac 2001,Wang Kertas RM500 dan RM1000 boleh ditukar di BNM,https://www.bnm.gov.my/-/wang-kertas-rm500-dan-rm1000-boleh-ditukar-di-bnm
08 Mac 2001,Maklumat Lanjut mengenai Notis Kawalan Pertukaran (ECM) yang Baru - Bhg. 18,https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-18
28 Feb 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Januari 2001: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-januari-2001-nota-penerangan
22 Feb 2001,Rizab Antarabangsa BNM pada 15 Feb 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-feb-2001
31 Jan 2001,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Disember 2000: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-disember-2000-nota-penerangan
22 Jan 2001,Garis Panduan Operasi Sistem Levi,https://www.bnm.gov.my/-/garis-panduan-operasi-sistem-levi
22 Jan 2001,Maklumat Lanjut mengenai Notis Kawalan Pertukaran (ECM) yang Baru - Bhg. 17,https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-17
08 Jan 2001,Rizab Antarabangsa BNM pada 31 Dis 2000,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-dec-2000-1
31 Dis 2002,Pemakluman Terperinci bagi Rizab Antarabangsa pada akhir bulan November 2002 : Nota Penerangan,https://www.bnm.gov.my/-/pemakluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-november-2002-nota-penerangan
30 Dis 2002,Perkembangan Monetari dan Kewangan dalam bulan November 2002,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-november-2002
23 Dis 2002,Rizab Antarabangsa BNM pada 13 Disember 2002,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-13-december-2002
16 Dis 2002,"BNM Menerbitkan ""Buku Wang Saku"" Dan ""Buku Perancangan Dan Penyata Kewangan Keluarga"" Bagi Tahun 2003",https://www.bnm.gov.my/-/bnm-menerbitkan-buku-wang-saku-dan-buku-perancangan-dan-penyata-kewangan-keluarga-bagi-tahun-2003>BNM Menerbitkan Buku Wang Saku Dan Buku Perancangan Dan Penyata Kewangan Keluarga
09 Dis 2002,Rizab Antarabangsa BNM pada 30 November 2002,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-november-2002
